#############################################
# loop   gs_energy       loss       val_loss
    1    -27.80427      0.01434      0.01248
    2    -27.69226      0.00580      0.00325
    3    -27.47962      0.02267      0.02934
    4    -30.40137      0.02653      0.02395
    5    -27.57539      0.03732      0.03805
    6    -27.58407      0.02341      0.01829
    7    -27.72731      0.00680      0.02154
    8    -30.64829      0.01013      0.00811
    9    -27.76773      0.00950      0.00554
   10    -27.66047      0.00518      0.00298
   11    -27.50266      0.02171      0.02934
   12    -27.66602      0.00480      0.00502
   13    -20.73006    148.21395    192.51564
   14    -27.72188      0.00652      0.00475
   15    -27.70075      0.00468      0.00437
   16    -27.70348      0.00496      0.00410
   17    -27.72815      0.00974      0.00517
   18    -27.69700      0.00633      0.00512
   19    -27.69934      0.19824      0.17732
   20    -28.57343      0.03349      0.02626
   21    -27.59965      0.00371      0.00088
   22    -27.48275      0.02294      0.01877
   23    -27.69516      0.00599      0.01013
   24    -27.56844      0.21471      0.23530
   25    -27.72351      0.00833      0.00518
   26    -27.73413      0.00865      0.00964
   27    -27.69206      0.00947      0.00283
   28    -27.69992      0.00697      0.00555
   29    -27.72994      0.00893      0.01453
   30    -27.71152      0.00720      0.00425
   31    -34.05437      0.01372      0.00929
   32    -27.72763      0.03452      0.02308
   33    -27.70005      0.00635      0.00493
   34    -27.67374      0.00528      0.00477
   35    -33.43153      0.00683      0.00388
   36    -31.34769      0.00648      0.00602
   37    -27.64560      0.00387      0.00167
   38    -27.65404      0.00469      0.00556
   39    -27.70531      0.19206      0.16020
   40    -27.71737      0.00957      0.00556
   41    -27.57896      0.03577      0.02806
   42    -27.65112      0.00539      0.00246
   43    -27.73542      0.00590      0.03883
   44    -27.65304      0.00646      0.00894
   45    -27.64005      0.20029      0.19369
   46    -27.67936      0.00809      0.01295
   47    -27.69510      0.00673      0.00870
   48    -40.91500      0.20294      0.16170
   49    -20.73481    148.80527    134.64116
   50    -27.69712      0.00674      0.00373
   51    -27.85183      0.01544      0.00866
   52    -27.74068      0.01106      0.00704
   53    -27.73039      0.00702      0.00483
   54    -27.50549      0.02567      0.01682
   55    -27.66161      0.00409      0.00235
   56    -27.64435      0.00578      0.00263
   57    -27.74912      0.00676      0.00429
   58    -28.20809      0.07516      0.05143
   59    -27.47911      0.02348      0.01793
   60    -30.01568      0.02338      0.02259
   61    -20.80937    148.90487    124.56309
   62    -27.48975      0.02232      0.01898
   63    -27.75548      0.00913      0.00691
   64    -27.78845      0.02239      0.01391
   65    -27.70881      0.00590      0.01279
   66    -27.82782      0.01403      0.00828
   67    -27.65670      0.00741      0.00389
   68    -33.85049      0.01194      0.00297
   69    -27.72998      0.00630      0.00486
   70    -27.77966      0.00900      0.00701
   71    -27.65667      0.00548      0.00270
   72    -27.89669      0.01236      0.05633
   73    -27.70700      0.00842      0.00388
   74    -27.46183      0.02312      0.01979
   75    -27.71035      0.00604      0.00361
   76    -27.72465      0.01138      0.00457
   77    -27.45240      0.02204      0.02230
   78    -27.66967      0.00561      0.00355
   79    -31.76175      0.00775      0.00442
   80    -27.47998      0.02039      0.01896
   81    -25.54515      0.00490      0.01087
   82    -27.69521      0.00736      0.00375
   83    -27.57101      0.03583      0.04227
   84    -31.77514      0.01502      0.00986
   85    -27.71116      0.00614      0.00308
   86    -27.70619      0.00874      0.00475
   87    -20.79037    148.53242    161.48573
   88    -31.46299      0.03630      0.03235
   89    -27.73304      0.00692      0.00661
   90    -32.16564      0.01009      0.01157
   91    -20.68491    148.48515    166.05643
   92    -27.81935      0.01598      0.00711
   93    -27.47529      0.02226      0.02321
   94    -27.49135      0.02661      0.02752
   95    -27.75969      0.00629      0.00390
   96    -27.52544      0.03060      0.02696
   97    -27.75835      0.00749      0.00421
   98    -27.49768      0.01067      0.00676
   99    -34.98033      0.04526      0.03104
  100    -27.71751      0.00598      0.00334
