#############################################
# loop   gs_energy       loss       val_loss
    1    -27.70008      0.00769      0.00274
    2    -27.84393      0.22095      0.23925
    3    -27.79983      0.00392      0.00629
    4    -27.49783      0.05002      0.04232
    5    -27.49448      0.02356      0.02668
    6    -27.83550      0.00572      0.00341
    7    -30.74570      0.00953      0.00547
    8    -28.01926      0.01152      0.01397
    9    -27.45730      0.05035      0.05557
   10    -27.77694      0.23109      0.18056
   11    -27.76189      0.00635      0.00664
   12    -27.75479      0.00626      0.00532
   13    -27.71981      0.22874      0.22624
   14    -27.75553      0.00489      0.00351
   15    -39.51786      0.04948      0.03916
   16    -27.44629      0.02900      0.03979
   17    -27.25596      0.00434      0.00187
   18    -27.69684      0.00473      0.00422
   19    -27.44622      0.02458      0.02965
   20    -27.73825      0.03911      0.20349
   21    -27.41855      0.02060      0.04606
   22    -27.77578      0.00542      0.02487
   23    -27.76662      0.00425      0.00252
   24    -32.63166      0.00562      0.01133
   25    -31.01174      0.00634      0.00753
   26    -29.28793      0.02124      0.01971
   27    -27.68970      0.00571      0.00343
   28    -27.73141      0.01056      0.01101
   29    -27.86116      0.00721      0.00457
   30    -36.02885      0.24589      0.18677
   31    -27.79383      0.00699      0.00528
   32    -27.67598      0.00570      0.00248
   33    -36.23971      0.24709      0.20947
   34    -27.81215      0.00844      0.00969
   35    -31.59586      0.02472      0.03489
   36    -27.77396      0.00635      0.00694
   37    -27.82662      0.00591      0.00407
   38    -29.90250      0.03013      0.04801
   39    -27.48475      0.02216      0.02181
   40    -27.83134      0.00662      0.00381
   41    -27.71463      0.00733      0.00444
   42    -27.70924      0.00663      0.00819
   43    -27.82442      0.00786      0.04993
   44    -19.08907    172.91857    154.40982
   45    -27.69958      0.00546      0.00290
   46    -27.86158      0.00690      0.01281
   47    -35.77064      0.00624      0.00354
   48    -27.84233      0.21805      0.22298
   49    -27.69537      0.00479      0.00327
   50    -27.85739      0.00567      0.00479
   51    -27.80058      0.00647      0.00521
   52    -27.74525      0.00916      0.00320
   53    -27.66022      0.00399      0.00441
   54    -27.83269      0.00554      0.00612
   55    -27.62490      0.04321      0.04134
   56    -27.80462      0.00545      0.00508
   57    -27.80350      0.00752      0.00276
   58    -27.81337      0.21910      0.44093
   59    -30.52077      0.04868      0.03735
   60    -34.37083      0.00692      0.00368
   61    -27.43832      0.02079      0.01405
   62    -27.68954      0.00319      0.00298
   63    -27.43597      0.02533      0.02252
   64    -27.71893      0.00446      0.00204
   65    -27.67707      0.00272      0.00845
   66    -27.67363      0.00421      0.00224
   67    -27.69336      0.00478      0.00244
   68    -27.57040      0.03743      0.03993
   69    -27.45041      0.02257      0.02167
   70    -30.63755      0.02212      0.02883
   71    -27.88348      0.00921      0.00753
   72    -30.57080      0.02256      0.03965
   73    -27.75166      0.00448      0.00512
   74    -36.14557      0.00585      0.00360
   75    -27.43803      0.02351      0.02583
   76    -27.78982      0.00914      0.00573
   77    -27.79305      0.00699      0.01747
   78    -27.68780      0.00543      0.00304
   79    -27.78829      0.00606      0.00324
   80    -27.43036      0.02331      0.02070
   81    -27.78736      0.00589      0.00269
   82    -27.80040      0.00480      0.00627
   83    -28.59243      0.05536      0.05099
   84    -27.94627      0.01401      0.06370
   85    -27.69711      0.00568      0.00338
   86    -27.77007      0.00650      0.00363
   87    -27.74620      0.00649      0.00287
   88    -27.72532      0.00662      0.00349
   89    -27.59016      0.03770      0.03000
   90    -29.93177      0.02884      0.02244
   91    -26.96492      0.01549      0.02623
   92    -27.90087      0.00656      0.00543
   93    -27.74310      0.00705      0.00624
   94    -27.79135      0.00408      0.00788
   95    -27.81164      0.00866      0.00419
   96    -27.66428      0.00630      0.00748
   97    -27.61660      0.04413      0.04924
   98    -27.78996      0.00662      0.00350
   99    -35.41057      0.03401      0.03146
  100    -27.73701      0.00802      0.00406
