#############################################
# loop   gs_energy       loss       val_loss
    1    -27.60160      0.00000      0.00000
    2    -27.60391      0.00001      0.00000
    3    -27.59696      0.00001      0.00001
    4    -27.60279      0.00001      0.00001
    5    -27.60712      0.00000      0.00000
    6    -27.60152      0.00001      0.00001
    7    -27.60033      0.00001      0.00001
    8    -27.61022      0.00001      0.00002
    9    -27.60037      0.00000      0.00000
   10    -27.60603      0.00001      0.00000
   11    -27.60470      0.00001      0.00001
   12    -27.60846      0.00001      0.00001
   13    -27.60154      0.00001      0.00001
   14    -27.60107      0.00001      0.00001
   15    -27.60349      0.00000      0.00001
   16    -27.60301      0.00001      0.00001
   17    -27.61009      0.00000      0.00000
   18    -27.59875      0.00001      0.00001
   19    -27.59920      0.00000      0.00000
   20    -27.60002      0.00001      0.00001
   21    -27.59869      0.00000      0.00000
   22    -27.60762      0.00000      0.00000
   23    -27.60485      0.00001      0.00001
   24    -27.59386      0.00001      0.00001
   25    -27.60445      0.00000      0.00000
   26    -27.60093      0.00001      0.00001
   27    -27.60414      0.00001      0.00000
   28    -27.60510      0.00000      0.00001
   29    -27.60420      0.00001      0.00001
   30    -27.59929      0.00001      0.00001
   31    -27.59746      0.00001      0.00001
   32    -27.60590      0.00001      0.00001
   33    -27.60341      0.00001      0.00000
   34    -27.60495      0.00000      0.00001
   35    -27.60539      0.00001      0.00001
   36    -27.60631      0.00001      0.00001
   37    -27.60547      0.00001      0.00001
   38    -27.60765      0.00001      0.00001
   39    -27.60175      0.00001      0.00000
   40    -27.60218      0.00001      0.00001
   41    -27.60433      0.00000      0.00000
   42    -27.56188      0.00000      0.00001
   43    -27.59677      0.00001      0.00003
   44    -27.61274      0.00000      0.00000
   45    -27.60632      0.00001      0.00001
   46    -27.60696      0.00001      0.00000
   47    -27.60061      0.00000      0.00000
   48    -27.59975      0.00001      0.00001
   49    -27.60494      0.00001      0.00000
   50    -27.60807      0.00000      0.00000
   51    -27.61078      0.00001      0.00001
   52    -27.61917      0.00001      0.00001
   53    -27.60050      0.00001      0.00001
   54    -27.61289      0.00001      0.00000
   55    -27.60754      0.00000      0.00000
   56    -27.60634      0.00001      0.00001
   57    -27.60826      0.00001      0.00001
   58    -27.60723      0.00000      0.00000
   59    -27.60316      0.00000      0.00000
   60    -27.60887      0.00001      0.00000
   61    -27.60412      0.00000      0.00000
   62    -27.59744      0.00001      0.00001
   63    -27.60383      0.00000      0.00000
   64    -27.59950      0.00001      0.00001
   65    -27.60314      0.00001      0.00001
   66    -27.60971      0.00001      0.00001
   67    -27.61032      0.00000      0.00002
   68    -27.60653      0.00001      0.00001
   69    -27.59958      0.00001      0.00001
   70    -27.59972      0.00001      0.00001
   71    -27.60572      0.00000      0.00000
   72    -27.60333      0.00000      0.00000
   73    -27.60251      0.00001      0.00001
   74    -27.60480      0.00000      0.00000
   75    -27.60648      0.00001      0.00001
   76    -27.59973      0.00001      0.00001
   77    -27.60582      0.00001      0.00001
   78    -27.60651      0.00000      0.00000
   79    -27.59687      0.00000      0.00001
   80    -27.60196      0.00000      0.00000
   81    -27.60528      0.00001      0.00001
   82    -27.60827      0.00001      0.00001
   83    -27.60534      0.00001      0.00001
   84    -27.60858      0.00000      0.00000
   85    -27.61190      0.00001      0.00001
   86    -27.60138      0.00000      0.00000
   87    -27.60343      0.00000      0.00000
   88    -27.59961      0.00001      0.00001
   89    -27.60483      0.00000      0.00000
   90    -27.60711      0.00000      0.00000
   91    -27.60768      0.00000      0.00000
   92    -27.60365      0.00000      0.00000
   93    -27.60407      0.00000      0.00000
   94    -27.60451      0.00000      0.00000
   95    -27.60308      0.00000      0.00000
   96    -27.59682      0.00000      0.00000
   97    -27.60276      0.00001      0.00000
   98    -27.60191      0.00000      0.00000
   99    -27.60788      0.00001      0.00001
  100    -27.59723      0.00001      0.00001
