#############################################
# loop   gs_energy       loss       val_loss
    1    -27.64806      0.01052      0.00573
    2    -27.63678      0.01054      0.01263
    3    -27.62413      0.00725      0.00689
    4    -27.66599      0.01038      0.00877
    5    -27.55748      0.02580      0.02649
    6    -27.62312      0.00656      0.00318
    7    -27.65922      0.00922      0.00736
    8    -27.55098      0.02580      0.02287
    9    -27.62455      0.14062      0.09271
   10    -27.60812      0.00359      0.00649
   11    -27.70114      0.01812      0.00926
   12    -27.64925      0.01088      0.00662
   13    -27.64351      0.00975      0.07526
   14    -27.64161      0.00671      0.00645
   15    -27.68672      0.01217      0.00846
   16    -27.64813      0.01264      0.01027
   17    -23.35586    103.48501    106.97581
   18    -27.64623      0.00910      0.00784
   19    -27.69372      0.01818      0.02704
   20    -27.63441      0.00686      0.00320
   21    -27.62241      0.00739      0.00430
   22    -27.57881      0.03607      0.03785
   23    -27.64483      0.00852      0.00403
   24    -27.64364      0.00780      0.00741
   25    -27.62427      0.00670      0.00369
   26    -27.64693      0.01116      0.01975
   27    -27.64298      0.00522      0.00764
   28    -27.68521      0.01690      0.00732
   29    -27.65415      0.01093      0.01071
   30    -27.61032      0.00529      0.00652
   31    -27.61310      0.00630      0.00295
   32    -27.52335      0.02049      0.02423
   33    -27.63418      0.00654      0.00260
   34    -27.59609      0.00585      0.00509
   35    -27.65110      0.01039      0.03003
   36    -27.53880      0.02298      0.01869
   37    -27.59373      0.03940      0.02751
   38    -27.59106      0.03331      0.02751
   39    -27.62439      0.00749      0.00284
   40    -27.53350      0.02587      0.01667
   41    -27.65546      0.00873      0.01094
   42    -27.63099      0.00805      0.01987
   43    -27.65139      0.01088      0.00496
   44    -27.54123      0.02085      0.03072
   45    -27.62774      0.01517      0.00468
   46    -27.64126      0.01609      0.00564
   47    -27.56010      0.02616      0.02692
   48    -27.63381      0.00746      0.01300
   49    -27.64721      0.01041      0.00690
   50    -27.62111      0.01241      0.00748
   51    -27.62528      0.00583      0.00353
   52    -27.52777      0.02670      0.01934
   53    -27.53424      0.02226      0.01707
   54    -27.62831      0.01047      0.01597
   55    -27.63598      0.00969      0.00784
   56    -27.54700      0.02069      0.01925
   57    -27.62477      0.14111      0.11210
   58    -27.61551      0.00565      0.00258
   59    -27.65031      0.13474      0.12205
   60    -27.62790      0.00873      0.01317
   61    -23.18209    103.43558    111.73123
   62    -27.54869      0.02206      0.02170
   63    -27.63070      0.00817      0.00425
   64    -27.55825      0.02470      0.06362
   65    -27.61701      0.00651      0.03909
   66    -27.56155      0.02825      0.04822
   67    -27.64868      0.00862      0.00765
   68    -27.61313      0.00618      0.00631
   69    -23.31301    103.58713     96.81630
   70    -27.64234      0.00845      0.00623
   71    -27.54277      0.04726      0.03248
   72    -27.50766      0.02097      0.01569
   73    -27.65536      0.01433      0.01604
   74    -27.65277      0.01192      0.00928
   75    -27.64879      0.00944      0.01367
   76    -27.64472      0.00962      0.00592
   77    -27.66485      0.01138      0.01077
   78    -27.69252      0.01847      0.01547
   79    -27.60800      0.00964      0.00343
   80    -27.53662      0.02574      0.02580
   81    -27.64248      0.01038      0.01112
   82    -27.64709      0.01299      0.03589
   83    -27.56590      0.03602      0.03902
   84    -27.56211      0.02529      0.02295
   85    -27.64591      0.01175      0.00760
   86    -27.66070      0.01831      0.01347
   87    -27.56768      0.03359      0.02884
   88    -27.63821      0.00827      0.00651
   89    -27.70238      0.02128      0.01560
   90    -27.66330      0.01090      0.00961
   91    -27.54365      0.02637      0.02655
   92    -27.54800      0.03609      0.03377
   93    -27.62936      0.00930      0.00490
   94    -27.64536      0.00719      0.00328
   95    -27.61250      0.00663      0.00423
   96    -27.57306      0.02892      0.06429
   97    -27.54576      0.01982      0.01588
   98    -23.24553    103.39156    116.21634
   99    -27.62623      0.00835      0.00494
  100    -27.61194      0.00725      0.00523
