#############################################
# loop   gs_energy       loss       val_loss
    1    -27.68703      0.01104      0.00618
    2    -27.64517      0.00726      0.00172
    3    -27.52359      0.02295      0.01972
    4    -27.70606      0.01060      0.00498
    5    -27.53832      0.02355      0.02788
    6    -27.68914      0.00856      0.00580
    7    -27.66533      0.00568      0.00542
    8    -27.64735      0.00856      0.00583
    9    -27.66882      0.00661      0.03078
   10    -27.58478      0.03746      0.02851
   11    -27.70725      0.00643      0.00314
   12    -30.28412      0.04053      0.03694
   13    -27.64680      0.00687      0.00461
   14    -27.68797      0.16670      0.13928
   15    -26.97080      0.00434      0.00290
   16    -27.66428      0.00672      0.00233
   17    -27.50122      0.02210      0.01978
   18    -27.65341      0.00804      0.00382
   19    -27.66350      0.00683      0.00253
   20    -27.67786      0.00622      0.00491
   21    -31.99803      0.03039      0.02903
   22    -27.67425      0.00548      0.00245
   23    -27.70146      0.01182      0.01157
   24    -27.66951      0.00992      0.01289
   25    -27.63013      0.00622      0.00287
   26    -27.69328      0.01130      0.00679
   27    -27.52896      0.02823      0.02479
   28    -27.69960      0.01009      0.00835
   29    -27.64217      0.00540      0.00314
   30    -27.53514      0.03029      0.05265
   31    -27.66875      0.00704      0.00557
   32    -27.62455      0.00570      0.00357
   33    -27.69235      0.01113      0.00710
   34    -27.70109      0.00987      0.01922
   35    -27.70163      0.00614      0.00682
   36    -27.77239      0.01438      0.00783
   37    -27.71764      0.01017      0.00677
   38    -27.65490      0.00686      0.00469
   39    -27.68654      0.16944      0.17037
   40    -27.65170      0.00420      0.00180
   41    -27.65384      0.17768      0.25995
   42    -27.49662      0.02812      0.03486
   43    -30.08268      0.00973      0.02980
   44    -27.80258      0.01547      0.01635
   45    -27.64733      0.00601      0.00329
   46    -27.66598      0.00887      0.00295
   47    -27.54532      0.02929      0.02548
   48    -27.65954      0.17268      0.32677
   49    -27.63314      0.00735      0.00314
   50    -27.64178      0.00475      0.00322
   51    -27.79173      0.00689      0.00256
   52    -27.74379      0.01425      0.01085
   53    -27.55347      0.04107      0.03735
   54    -27.66249      0.00692      0.00578
   55    -27.66867      0.00781      0.00430
   56    -27.66207      0.00599      0.00661
   57    -27.52083      0.02493      0.02201
   58    -27.56390      0.03086      0.02692
   59    -34.00064      0.17616      0.14136
   60    -27.54901      0.02694      0.05005
   61    -27.66836      0.00803      0.00601
   62    -27.68650      0.01581      0.00594
   63    -27.65005      0.00501      0.00204
   64    -27.67029      0.00914      0.00484
   65    -27.64488      0.00666      0.02813
   66    -27.68538      0.00892      0.00734
   67    -27.74978      0.00654      0.00323
   68    -27.70808      0.01081      0.00626
   69    -27.66043      0.00797      0.00572
   70    -27.54866      0.04226      0.03481
   71    -27.53475      0.02538      0.01981
   72    -27.62117      0.17375      0.49024
   73    -27.63901      0.00678      0.00227
   74    -27.63874      0.00741      0.00438
   75    -27.51091      0.02827      0.02511
   76    -32.17295      0.01465      0.00803
   77    -27.70608      0.00693      0.00766
   78    -27.67847      0.00743      0.00431
   79    -27.67562      0.00872      0.00928
   80    -27.64286      0.00674      0.00663
   81    -27.74866      0.00973      0.01401
   82    -27.73002      0.01076      0.01957
   83    -27.48312      0.02315      0.02339
   84    -27.63950      0.00796      0.00417
   85    -27.68915      0.00970      0.00536
   86    -27.67102      0.00561      0.00541
   87    -27.78050      0.01771      0.01199
   88    -27.76263      0.01568      0.01993
   89    -27.62101      0.00551      0.00777
   90    -27.70014      0.00534      0.00259
   91    -27.84429      0.01425      0.01658
   92    -27.66967      0.00953      0.00419
   93    -27.57146      0.03400      0.06326
   94    -27.50926      0.02270      0.02080
   95    -27.66508      0.00721      0.00802
   96    -21.84908    129.69196    166.63193
   97    -27.68851      0.01018      0.00545
   98    -27.58138      0.04794      0.04979
   99    -27.58501      0.03684      0.03863
  100    -27.65533      0.00718      0.00529
